bookId,chapters,abbrOSIS,abbrLEB,bookName,bhsaName,shebanqName,nameHeb,tanakhSort,tanakh
1,50,Gen,Ge,Genesis,Genesis,Genesis,בראשית,1,Genesis
2,40,Exod,Ex,Exodus,Exodus,Exodus,שמות,2,Exodus
3,27,Lev,Le,Leviticus,Leviticus,Leviticus,ויקרא,3,Leviticus
4,36,Num,Nu,Numbers,Numbers,Numeri,במדבר,4,Numbers
5,34,Deut,Dt,Deuteronomy,Deuteronomy,Deuteronomium,דברים,5,Deuteronomy
6,24,Josh,Jos,Joshua,Joshua,Josua,יהושע,6,Joshua
7,21,Judg,Jdg,Judges,Judges,Judices,שופטים,7,Judges
8,4,Ruth,Ru,Ruth,Ruth,Ruth,רות,30,1 Samuel
9,31,1Sam,1Sa,1 Samuel,1_Samuel,Samuel_I,שמואל א,8,2 Samuel
10,24,2Sam,2Sa,2 Samuel,2_Samuel,Samuel_II,שמואל ב,9,1 Kings
11,22,1Kgs,1Ki,1 Kings,1_Kings,Reges_I,מלכים א,10,2 Kings
12,25,2Kgs,2Ki,2 Kings,2_Kings,Reges_II,מלכים ב,11,Isaiah
13,29,1Chr,1Ch,1 Chronicles,1_Chronicles,Chronica_I,דברי הימים א,38,Jeremiah
14,36,2Chr,2Ch,2 Chronicles,2_Chronicles,Chronica_II,דברי הימים ב,39,Ezekiel
15,10,Ezra,Ezr,Ezra,Ezra,Esra,עזרא,36,Hosea
16,13,Neh,Ne,Nehemiah,Nehemiah,Nehemia,ונחמיה,37,Joel
17,10,Esth,Es,Esther,Esther,Esther,אסתר,34,Amos
18,42,Job,Job,Job,Job,Iob,איוב,28,Obadiah
19,150,Ps,Ps,Psalms,Psalms,Psalmi,תהלים,27,Jonah
20,31,Prov,Pr,Proverbs,Proverbs,Proverbia,משלי,29,Micah
21,12,Eccl,Ec,Ecclesiastes,Ecclesiastes,Ecclesiastes,קהלת,32,Nahum
22,8,Song,So,Song of Songs,Song_of_songs,Canticum,שיר השירים,31,Habakkuk
23,66,Isa,Is,Isaiah,Isaiah,Jesaia,ישעיהו,12,Zephaniah
24,52,Jer,Je,Jeremiah,Jeremiah,Jeremia,ירמיהו,13,Haggai
25,5,Lam,La,Lamentations,Lamentations,Threni,איכה,33,Zechariah
26,48,Ezek,Eze,Ezekiel,Ezekiel,Ezechiel,יחזקאל,14,Malachi
27,12,Dan,Da,Daniel,Daniel,Daniel,דניאל,35,Psalms
28,14,Hos,Ho,Hosea,Hosea,Hosea,הושע,15,Job
29,3,Joel,Joe,Joel,Joel,Joel,יואל,16,Proverbs
30,9,Amos,Am,Amos,Amos,Amos,עמוס,17,Ruth
31,1,Obad,Ob,Obadiah,Obadiah,Obadia,עובדיה,18,Song of Songs
32,4,Jonah,Jon,Jonah,Jonah,Jona,יונה,19,Ecclesiastes
33,7,Mic,Mic,Micah,Micah,Micha,מיכה,20,Lamentations
34,3,Nah,Na,Nahum,Nahum,Nahum,נחום,21,Esther
35,3,Hab,Hab,Habakkuk,Habakkuk,Habakuk,חבקוק,22,Daniel
36,3,Zeph,Zep,Zephaniah,Zephaniah,Zephania,צפניה,23,Ezra
37,2,Hag,Hag,Haggai,Haggai,Haggai,חגי,24,Nehemiah
38,14,Zech,Zec,Zechariah,Zechariah,Sacharia,זכריה,25,1 Chronicles
39,3,Mal,Mal,Malachi,Malachi,Maleachi,מלאכי,26,2 Chronicles
